Mean Depth ,CH4nNormalized,mean total air,ice age,gas age ,,Ca2+,CH4cNormalized,Top Depth ,Bottom Depth
1483.9325,681.2251766,0.08973927,14495.24091,13844.35909,,28.30857143,680.2664422,1483.90,1483.97
1484.005,672.7919607,0.090284955,14498.00909,13847.39091,,24.76,671.9584749,1483.96,1484.05
1484.005,679.2660992,0.091416536,14498.00909,13847.39091,,24.76,678.4429306,1483.98,1484.03
1485.04,682.4380042,0.092310043,14534.30909,13892.74545,,26.39333333,681.5690273,1485.00,1485.08
1485.655,674.9574092,0.091027593,14554.43636,13919.96364,,20.116,674.285777,1485.61,1485.7
1486.14,671.7796762,0.093455717,14570.38182,13942.89091,,23.95,671.0008106,1486.10,1486.18
1486.755,631.5966976,0.093916748,14592.00909,13972.15455,,20.55,630.9316821,1486.71,1486.8
1487.79,612.5275942,0.090922874,14631.6,14022.10909,,48.88,610.8937111,1487.75,1487.83
1488.405,616.4847677,0.093726573,14656.00909,14054.91818,,36.474,615.3020432,1488.36,1488.45
1488.89,654.8039767,0.092498705,14674.74545,14081.89091,,35.33,653.6431406,1488.85,1488.93
1489.505,666.4219108,0.089441393,14704.63636,14110.96364,,98.76,663.0660383,1489.46,1489.55
1490.525,664.5371205,0.090142434,14773.45455,14156.95455,,128,660.2214963,1490.50,1490.55
1491.155,650.7552295,0.09436099,14810.87273,14180.81818,,141.113,646.2101921,1491.11,1491.2
1491.64,657.2112451,0.092901216,14842.76364,14198.38182,,142.5866667,652.5465802,1491.60,1491.68
1492.255,661.0208788,0.092066769,14885.44545,14219.62727,,141.16,656.3610316,1492.21,1492.3
1493.29,653.8878941,0.090851341,14964.90909,14255.45455,,149.3955556,648.8902046,1493.25,1493.33
1493.905,640.5114381,0.093255769,15010.59091,14277.43636,,170.098,634.9679077,1493.86,1493.95
1494.39,649.1612621,0.091940824,15050.05455,14293.38182,,160.0344444,643.8711118,1494.35,1494.43
1495.005,645.9818354,0.092654749,15097.4,14314.43636,,189.708,639.7591064,1494.96,1495.05
1496.04,656.6205888,0.091141813,15183.2,14347.23636,,174.3033333,650.8082495,1496.00,1496.08
1496.655,638.8740438,0.090634435,15232.20909,14366.62727,,133.812,634.386954,1496.61,1496.7
1497.14,651.7407115,0.088827471,15269.98182,14383.45455,,147.6544444,646.6887253,1497.10,1497.18
1497.755,650.8063457,0.089959742,15315.82727,14405.24545,,249.724,642.369599,1497.71,1497.8
1498.85,662.8499852,0.090881456,15402.18182,14440.45455,,130.2433333,658.4944337,1498.81,1498.89
1498.98,662.6759264,0.090008024,15412.81818,14444.94545,,160.2322222,657.2654992,1498.94,1499.02
1499.11,645.1910538,0.089517455,15423.45455,14449.43636,,178.3866667,639.1346114,1499.07,1499.15
1499.25,656.2476625,0.090390745,15434.90909,14454.27273,,171.67,650.4755688,1499.2,1499.3
1499.4,656.9059199,0.090670878,15446.45455,14459.27273,,178.9666667,650.9070803,1499.36,1499.44
1499.53,651.7030194,0.093520567,15456.14545,14463.52727,,201.9133333,645.1412525,1499.49,1499.57
1499.8,664.0744878,0.087999047,15476.27273,14472.36364,,180.4572727,657.84203,1499.75,1499.85
1499.95,655.9327459,0.088174178,15487.63636,14477.63636,,196.8222222,649.1485928,1499.91,1499.99
1499.95,649.6068351,0.092422499,15487.63636,14477.63636,,196.8222222,643.1345244,1499.91,1499.99
1500.08,649.5651871,0.094132357,15497.56364,14482.36364,,121.3777778,645.6462962,1500.04,1500.12
1500.08,665.7199138,0.087592008,15497.56364,14482.36364,,121.3777778,661.5084059,1500.04,1500.12
