Table S2.,,,
Dongge Cave stalagmite D4 Oxygen Isotope Data,,,
Years,delta,18O,(VPDB)
,13722.5,-7.86,
,13750.7,-7.91,
,13778.9,-8.11,
,13807.1,-8.27,
,13835.2,-8.22,
,13863.4,-7.45,
,13891.6,-7.9,
,13919.8,-8.16,
,13947.9,-7.95,
,13976.1,-7.53,
,14004.3,-7.33,
,14117,-7.68,
,14154.8,-7.4,
,14192.6,-7.53,
,14230.4,-7.35,
,14268.2,-7.68,
,14305.9,-7.27,
,14343.7,-6.64,
,14381.5,-6.78,
,14419.3,-6.92,
,14457.1,-6.72,
,14494.9,-6.35,
,14532.7,-5.92,
,14570.5,-6.93,
,14608.3,-6.33,
,14646.1,-6.69,
,14683.8,-5.71,
,14721.6,-5.45,
,14759.4,-5.15,
,14797.2,-5.45,
,14835,-5.32,
,14879.1,-5.27,
,14923.3,-5.18,
,14967.4,-4.96,
,15011.5,-5.29,
,15055.6,-5.07,
,15099.8,-5.29,
,15143.9,-5.33,
,15188,-5.64,
,15232.1,-5.52,
,15276.3,-5.34,
,15320.4,-5.72,
,15364.5,-5.12,
,15408.6,-5.24,
,15452.8,-5.28,
,15496.9,-5.16,
,15541,-5.1,
,15567.9,-5.15,
,15594.9,-5.08,
,15621.8,-5.08,
,15648.7,-5.08,
,15675.6,-4.94,
,15702.6,-4.96,
,15729.5,-4.92,
,15756.4,-4.84,
,15783.4,-4.89,
,15810.3,-5.14,
