GISP2 depth,[Ca2+] GISP2
(m),(ppb)
1592.36,7.46
1592.36,8.63
1593.92,8.63
1593.92,8.47
1595.4,8.47
1595.4,7.32
1596.89,7.32
1596.89,8.75
1598.48,8.75
1598.48,7.72
1600.03,7.72
1600.03,6.86
1601.44,6.86
1601.44,8.85
1602.86,8.85
1602.86,9.85
1604.35,9.85
1604.35,11.26
1605.83,11.26
1605.83,10.1
1607.3,10.1
1607.3,9.21
1608.82,9.21
1608.82,10.55
1610.29,10.55
1610.29,9.62
1611.8,9.62
1611.8,8.12
1613.19,8.12
1613.19,8.27
1614.74,8.27
1614.74,10.64
1616.11,10.64
1616.11,8.91
1617.55,8.91
1617.55,9.31
1618.89,9.31
1618.89,10.14
1620.3,10.14
1620.3,12.31
1621.66,12.31
1621.66,11.03
1623.12,11.03
1623.12,10.12
1624.43,10.12
1624.43,10.55
1625.88,10.55
1625.88,14.4
1627.27,14.4
1627.27,8.5
1628.59,8.5
1628.59,9.75
1629.88,9.75
1629.88,7.66
1631.28,7.66
1631.28,10.87
1632.53,10.87
1632.53,10.46
1633.83,10.46
1633.83,10.84
1635.22,10.84
1635.22,8.71
1636.52,8.71
1636.52,9.45
1637.91,9.45
1637.91,9.94
1639.31,9.94
1639.31,11.61
1640.53,11.61
1640.53,11.06
1641.86,11.06
1641.86,11.28
1643.18,11.28
1643.18,10.53
1644.45,10.53
1644.45,11.08
1645.77,11.08
1645.77,10.82
1647.06,10.82
1647.06,11.26
1648.26,11.26
1648.26,10.06
1649.5,10.06
1649.5,10.89
1650.85,10.89
1650.85,10.98
1652.19,10.98
1652.19,11.05
1653.56,11.05
1653.56,10.92
1654.8,10.92
1654.8,12.9
1656.07,12.9
1656.07,16.36
1657.37,16.36
1657.37,11.11
1658.7,11.11
1658.7,16.25
1659.91,16.25
1659.91,24.03
1661.03,24.03
1661.03,25.31
1662.07,25.31
1662.07,18.8
1663.16,18.8
1663.16,20.76
1664.17,20.76
1664.17,15.41
1665.44,15.41
1665.44,15.56
1666.68,15.56
1666.68,15.97
1667.88,15.97
1667.88,16.96
1669.17,16.96
1669.17,13.3
1670.39,13.3
1670.39,9.42
1671.84,9.42
1671.84,8.71
1673.17,8.71
1673.17,14.62
1674.55,14.62
1674.55,17.97
1675.82,17.97
1675.82,19.19
1676.95,19.19
1676.95,33.1
1677.97,33.1
1677.97,90.63
1678.62,90.63
1678.62,95.3
1679.33,95.3
1679.33,106.56
1679.98,106.56
1679.98,76.67
1680.59,76.67
1680.59,117.63
1681.2,117.63
1681.2,112.64
1681.81,112.64
1681.81,99.4
1682.44,99.4
1682.44,128.58
1683.03,128.58
1683.03,92.09
1683.61,92.09
1683.61,98.12
1684.17,98.12
1684.17,105.62
1684.78,105.62
1684.78,77.27
1685.4,77.27
1685.4,93.6
1686.04,93.6
1686.04,98.26
1686.65,98.26
1686.65,92.38
1687.2,92.38
1687.2,93.98
1687.77,93.98
1687.77,88.8
1688.45,88.8
1688.45,99.19
1689.05,99.19
1689.05,94.79
1689.64,94.79
1689.64,90.29
1690.28,90.29
1690.28,118.45
1690.85,118.45
1690.85,117.46
1691.46,117.46
1691.46,130.49
1692.01,130.49
1692.01,144.89
1692.55,144.89
1692.55,108.49
1693.15,108.49
1693.15,129.18
1693.69,129.18
1693.69,146.71
1694.22,146.71
1694.22,116.75
1694.78,116.75
1694.78,117.56
1695.42,117.56
1695.42,115.79
1695.98,115.79
1695.98,152.25
1696.54,152.25
1696.54,104.52
1697.04,104.52
1697.04,126.86
1697.62,126.86
1697.62,119.12
1698.12,119.12
1698.12,141.42
1698.72,141.42
1698.72,144.2
1699.27,144.2
1699.27,121.95
1699.9,121.95
1699.9,148.25
1700.55,148.25
1700.55,113.32
1701.12,113.32
1701.12,166.72
1701.65,166.72
1701.65,145.24
1702.24,145.24
1702.24,141.98
1702.79,141.98
1702.79,203.92
1703.32,203.92
1703.32,185.97
1703.9,185.97
1703.9,138.2
1704.39,138.2
1704.39,193.73
1704.84,193.73
1704.84,146.27
1705.35,146.27
1705.35,149.5
1705.95,149.5
1705.95,196.02
1706.49,196.02
1706.49,146.44
1707.03,146.44
1707.03,171.23
1707.65,171.23
1707.65,164.97
1708.26,164.97
1708.26,131.89
1708.8,131.89
1708.8,157.23
1709.36,157.23
1709.36,104.25
1709.89,104.25
1709.89,62.3
1710.48,62.3
1710.48,54.07
1711.17,54.07
1711.17,49.26
1711.79,49.26
1711.79,37.93
1712.48,37.93
1712.48,34.83
1713.21,34.83
1713.21,24.54
1714.02,24.54
1714.02,23.39
1714.89,23.39
1714.89,22.18
1715.66,22.18
1715.66,33.83
1716.51,33.83
1716.51,26.78
1717.55,26.78
1717.55,33.73
1718.37,33.73
1718.37,36.81
1719.19,36.81
1719.19,35.67
1720.13,35.67
1720.13,35.45
1720.92,35.45
1720.92,55.12
1721.66,55.12
1721.66,54.97
1722.36,54.97
1722.36,49.31
1723.08,49.31
1723.08,70.11
1723.8,70.11
1723.8,46.6
1724.51,46.6
1724.51,43.8
1725.27,43.8
1725.27,47.16
1725.96,47.16
1725.96,60.43
1726.77,60.43
1726.77,38.34
1727.46,38.34
1727.46,33.57
1728.33,33.57
1728.33,27.61
1729.26,27.61
1729.26,26.65
1730.11,26.65
1730.11,26.75
1731.06,26.75
1731.06,24.94
1731.98,24.94
1731.98,24.76
1732.89,24.76
1732.89,23.93
1733.9,23.93
1733.9,26.58
1734.81,26.58
1734.81,23.72
1735.86,23.72
1735.86,19.5
1736.73,19.5
1736.73,23.32
1737.71,23.32
1737.71,27.27
1738.66,27.27
1738.66,23.54
1739.68,23.54
1739.68,24.99
1740.65,24.99
1740.65,20.96
1741.73,20.96
1741.73,37.02
1742.59,37.02
1742.59,35.97
1743.45,35.97
1743.45,44
1744.27,44
1744.27,47.49
1745.05,47.49
1745.05,36.31
1745.92,36.31
1745.92,25.62
1746.78,25.62
1746.78,21.93
1747.8,21.93
1747.8,19.55
1748.78,19.55
1748.78,21.3
1749.76,21.3
1749.76,32.39
1750.7,32.39
1750.7,24.33
1751.73,24.33
1751.73,34.71
1752.72,34.71
1752.72,24.42
1753.76,24.42
1753.76,26.53
1754.69,26.53
1754.69,23.56
1755.73,23.56
1755.73,22.63
1756.81,22.63
1756.81,22.08
1757.8,22.08
1757.8,21.03
1758.81,21.03
1758.81,19.75
1759.82,19.75
1759.82,20.33
1760.68,20.33
1760.68,34.63
1761.49,34.63
1761.49,37.63
1762.31,37.63
1762.31,60.9
1763.08,60.9
1763.08,63.82
1763.75,63.82
1763.75,36.75
1764.46,36.75
1764.46,22.22
1765.24,22.22
1765.24,18.58
1766.19,18.58
1766.19,19.41
1767.1,19.41
1767.1,13.14
1768.02,13.14
1768.02,20.62
1769.1,20.62
1769.1,33.98
1769.94,33.98
1769.94,25.23
1770.93,25.23
1770.93,22.67
1772,22.67
1772,19.76
1773.07,19.76
1773.07,15.15
1774.18,15.15
1774.18,22.16
1775.15,22.16
1775.15,19.08
1776.35,19.08
1776.35,20.07
1777.5,20.07
1777.5,20.79
1778.62,20.79
1778.62,22.14
1779.7,22.14
1779.7,25.68
1780.73,25.68
1780.73,21.85
1781.84,21.85
1781.84,27.06
1782.95,27.06
1782.95,24.39
1784.02,24.39
1784.02,24.27
1785.2,24.27
1785.2,18.88
1786.39,18.88
1786.39,20.19
1787.33,20.19
1787.33,23.04
1788.45,23.04
1788.45,20.13
1789.7,20.13
1789.7,20.7
1790.94,20.7
1790.94,20.7
1792.2,20.7
1792.2,16.09
1793.34,16.09
1793.34,26.25
1794.31,26.25
1794.31,26.69
1795.25,26.69
1795.25,25.14
1796.35,25.14
1796.35,32.51
1797.31,32.51
1797.31,58.91
1798.11,58.91
1798.11,99.72
1798.61,99.72
1798.61,124.39
1799.18,124.39
1799.18,154.94
1799.69,154.94
1799.69,157.46
1800.32,157.46
1800.32,124.13
1800.96,124.13
1800.96,130.11
1801.59,130.11
1801.59,116.3
1802.13,116.3
1802.13,149.62
1802.71,149.62
1802.71,139.33
1803.26,139.33
1803.26,137.89
1803.8,137.89
1803.8,116.02
1804.33,116.02
1804.33,130.87
1804.79,130.87
1804.79,183.96
1805.25,183.96
1805.25,171.52
1805.71,171.52
1805.71,188.25
1806.24,188.25
1806.24,159.58
1806.72,159.58
1806.72,151.5
1807.12,151.5
1807.12,174.16
1807.57,174.16
1807.57,167.73
1808.05,167.73
1808.05,145.17
1808.51,145.17
1808.51,145.64
1808.93,145.64
1808.93,143.42
1809.36,143.42
1809.36,137.8
1809.76,137.8
