NEEM ion concentration data in 10 yr resolution,,,,,,
"Reference: Schüpbach et al., Greenland records of aerosol source and atmospheric lifetime changes from the Eemian to the Holocene, Nature Communications, 2018",,,,,,
"further reference: Rasmussen et al., A first chronology for the North Greenland Eemian Ice Drilling (NEEM) ice core. Climate of the Past 9, 2713–2730, doi:10.5194/cp-9-2713-2013 (2013).",,,,,,
,,,,,,
NEEM continuous Methane Concentration Data,,,,,,
"Reference: Chappellaz et al., High resolution glacial and delacial record of atmospheric methane by continuous-flow and laser spectrometer analysis along the NEEM ice core.  EGU Climate of the Past, 2013.",,,,,,
,,,,,,
NEEM Ca2+ (dust),,,,NEEM Methane,,
ageGICC05_mid (yr BP),depth_mid (m),Ca (ng/g),,Age (b2k),Depth (m),RawMethaneMean (ppbv)
10210.0231,1359.5638,8.87,,10592.8852,1388.4913,676.96
10220.0992,1360.0735,11.01,,10592.8852,1388.4913,679.05
10230.0015,1360.6100,9.01,,10598.1018,1388.712,679.05
10239.9236,1361.1085,9.39,,NaN,NaN,NaN
10250.0533,1361.5760,10.39,,10606.7014,1389.1351,671.17
10260.0601,1362.0555,9.72,,10610.2684,1389.3123,671.17
10269.9626,1362.5473,9.20,,10610.2684,1389.3123,666.51
10279.9413,1363.0295,9.86,,10614.1353,1389.4895,666.51
10289.9854,1363.4845,11.84,,10614.1353,1389.4895,666.44
10300.0969,1363.9408,15.88,,10618.0022,1389.6668,666.44
10310.0509,1364.4360,9.97,,10618.0022,1389.6668,667.47
10319.8238,1364.9285,11.97,,10621.8691,1389.844,667.47
10329.9544,1365.3720,12.32,,NaN,NaN,NaN
10340.0701,1365.7983,12.37,,10634.3817,1390.3738,666.03
10349.9854,1366.2345,8.68,,10637.9828,1390.5367,666.03
10360.0328,1366.6725,8.57,,NaN,NaN,NaN
10370.0273,1367.1183,8.65,,10644.8784,1390.8528,670.38
10380.0489,1367.5790,10.72,,10646.7164,1390.937,670.38
10389.9681,1368.0505,10.12,,NaN,NaN,NaN
10399.9160,1368.5135,11.86,,10658.6948,1391.486,673.33
10410.0041,1368.9590,8.23,,10660.3695,1391.5579,673.33
10420.0036,1369.4085,9.86,,NaN,NaN,NaN
10429.9964,1369.8665,9.33,,10663.6639,1391.6973,675.84
10439.9475,1370.3213,10.55,,10667.7492,1391.8702,675.84
10449.9694,1370.7648,9.97,,10667.7492,1391.8702,676.06
10460.0182,1371.2038,7.22,,10671.8345,1392.043,676.06
10470.0018,1371.6543,9.00,,NaN,NaN,NaN
10479.9612,1372.1065,8.71,,10680.6612,1392.447,673.19
10490.0604,1372.5513,12.27,,10685.7377,1392.6796,673.19
10500.0536,1373.0083,9.24,,10685.7377,1392.6796,671.35
10509.9508,1373.4800,11.45,,10690.8143,1392.9123,671.35
10519.9982,1373.9458,10.88,,10690.8143,1392.9123,670.33
10529.9818,1374.3963,7.42,,10695.8909,1393.145,670.33
10540.0251,1374.8350,10.92,,NaN,NaN,NaN
10550.0415,1375.2783,8.33,,10707.5485,1393.6386,670.43
10559.9982,1375.7333,11.38,,10712.2869,1393.8391,670.43
10570.0018,1376.1918,10.45,,10712.2869,1393.8391,668.81
10580.0055,1376.6503,11.47,,10717.0253,1394.0395,668.81
10589.9720,1377.1015,9.66,,10717.0253,1394.0395,670.5
10600.0754,1377.5465,11.84,,10721.7636,1394.24,670.5
10610.0127,1378.0023,8.63,,NaN,NaN,NaN
10619.9239,1378.4588,11.54,,10809.0655,1397.9759,667.28
10630.0182,1378.9038,9.45,,10813.0209,1398.1432,667.28
10640.0018,1379.3543,11.62,,10813.0209,1398.1432,667.41
10650.0000,1379.8125,11.31,,10816.9762,1398.3105,667.41
10659.9461,1380.2663,8.94,,NaN,NaN,NaN
10669.9470,1380.7070,10.81,,10822.6692,1398.5514,673.45
10679.9973,1381.1345,15.30,,10824.1018,1398.612,673.45
10690.0146,1381.5655,9.53,,NaN,NaN,NaN
10699.9757,1382.0073,11.62,,10834.6335,1399.0032,670.22
10710.0107,1382.4473,13.60,,10837.195,1399.0972,670.22
10720.0204,1382.8870,10.19,,NaN,NaN,NaN
10729.9672,1383.3275,11.12,,10845.5803,1399.4361,661.94
10739.9793,1383.7508,11.79,,10849.2783,1399.5925,661.94
10750.0788,1384.1610,12.34,,10849.2783,1399.5925,662.55
10760.0557,1384.5848,11.58,,10852.9764,1399.749,662.55
10769.9585,1385.0208,12.01,,NaN,NaN,NaN
10780.0059,1385.4503,12.12,,10865.8393,1400.2932,662.52
10790.0950,1385.8870,10.34,,10868.0135,1400.3791,662.52
10799.9885,1386.3445,8.35,,NaN,NaN,NaN
10809.8944,1386.7960,10.16,,10871.9235,1400.5327,664.3
10819.9959,1387.2268,9.82,,10875.9109,1400.6894,664.3
10830.0014,1387.6425,13.47,,10875.9109,1400.6894,664.03
10839.9535,1388.0388,14.95,,10879.8982,1400.846,664.03
10849.9846,1388.4185,13.81,,NaN,NaN,NaN
10860.0338,1388.8050,15.06,,10890.667,1401.2691,663.73
10869.9440,1389.2043,12.56,,10895.064,1401.445,663.73
10879.9777,1389.5925,13.19,,10895.064,1401.445,662.63
10890.0319,1389.9723,11.01,,10899.2229,1401.621,662.63
10899.9945,1390.3605,11.24,,NaN,NaN,NaN
10909.9982,1390.7535,13.68,,10922.3268,1402.5914,663.44
10920.0018,1391.1465,12.36,,10928.1379,1402.8197,663.44
10930.0055,1391.5395,13.97,,10928.1379,1402.8197,660.72
10940.0462,1391.9378,10.23,,10933.9491,1403.048,660.72
