depth_m,age_ice_calBP,age_gas_calBP
306.346,1187,1002.9
306.598,1188,1003.9
306.827,1189,1004.9
307.002,1190,1005.9
307.221,1191,1006.9
307.44,1192,1008
307.692,1193,1009
307.998,1194,1010
308.337,1195,1011
308.556,1196,1012.1
308.797,1197,1013.1
309.037,1198,1014.2
309.333,1199,1015.2
309.552,1200,1016.3
309.792,1201,1017.3
310.033,1202,1018.4
310.241,1203,1019.4
310.503,1204,1020.4
310.711,1205,1021.5
310.985,1206,1022.5
311.215,1207,1023.6
311.39,1208,1024.6
311.554,1209,1025.6
311.816,1210,1026.7
312.112,1211,1027.7
312.407,1212,1028.8
312.681,1213,1029.8
312.878,1214,1030.9
313.096,1215,1031.9
313.348,1216,1033
313.709,1217,1034
313.95,1218,1035.1
314.179,1219,1036.1
314.42,1220,1037.2
314.617,1221,1038.2
314.869,1222,1039.3
315.099,1223,1040.3
315.361,1224,1041.4
315.569,1225,1042.4
315.854,1226,1043.5
316.083,1227,1044.6
316.324,1228,1045.6
316.598,1229,1046.7
316.86,1230,1047.8
317.101,1231,1048.8
317.352,1232,1049.9
317.626,1233,1051
317.878,1234,1052
318.107,1235,1053.1
318.304,1236,1054.1
318.611,1237,1055.2
318.895,1238,1056.3
319.136,1239,1057.3
319.333,1240,1058.4
319.53,1241,1059.4
319.77,1242,1060.5
320.011,1243,1061.5
320.241,1244,1062.6
320.46,1245,1063.6
320.722,1246,1064.6
321.018,1247,1065.7
321.269,1248,1066.7
321.576,1249,1067.7
321.915,1250,1068.8
322.156,1251,1069.8
322.341,1252,1070.8
322.582,1253,1071.8
322.856,1254,1072.9
323.064,1255,1073.9
323.26,1256,1074.9
323.479,1257,1076
323.764,1258,1077
324.016,1259,1078.1
324.201,1260,1079.1
324.376,1261,1080.1
324.584,1262,1081.1
324.858,1263,1082.2
325.066,1264,1083.2
325.328,1265,1084.3
325.624,1266,1085.3
325.854,1267,1086.3
326.138,1268,1087.4
326.39,1269,1088.4
326.598,1270,1089.4
326.773,1271,1090.4
327.09,1272,1091.5
327.287,1273,1092.5
327.56,1274,1093.5
327.899,1275,1094.5
328.14,1276,1095.6
328.392,1277,1096.6
328.611,1278,1097.6
328.862,1279,1098.7
329.081,1280,1099.7
329.333,1281,1100.7
329.552,1282,1101.8
329.792,1283,1102.8
330.055,1284,1103.8
330.296,1285,1104.9
330.514,1286,1105.9
330.766,1287,1106.9
331.018,1288,1108
331.204,1289,1109
331.455,1290,1110
331.685,1291,1111
331.882,1292,1112.1
332.09,1293,1113.1
332.309,1294,1114.1
332.528,1295,1115.1
332.823,1296,1116.2
333.053,1297,1117.2
333.348,1298,1118.2
333.611,1299,1119.2
333.862,1300,1120.3
334.125,1301,1121.3
334.409,1302,1122.3
334.672,1303,1123.3
334.88,1304,1124.3
335.088,1305,1125.4
335.307,1306,1126.4
335.536,1307,1127.4
335.843,1308,1128.4
336.072,1309,1129.5
336.28,1310,1130.5
336.532,1311,1131.5
336.751,1312,1132.5
337.057,1313,1133.6
337.287,1314,1134.6
